no,X,Y,OBJECTID,BBY_PID,LOT_ID,GIS_ID,LTO_PID,ST_UNIT,ST_NMBR,ST_NAME,ST_TYPE,ST_SFX,UNIT,ADDRESS,PLAN,DL,BLOCK,LOT,STRATA,AIR_SPACE,AGGREGATE,AGGR_ROLL,CASENO,STATUS,CASE_TYPE,PID,CASE_BUS_TR_NAME,serviceProvded,CASE_BUS_TYPE_DESC,BUS_CLASS_UNITS,BUS_CLASS_NO,BUS_CLASS_DESC,APPLYDATE,ISSUEDATE,EXPIRYDATE,LICENCESTATUS,NAME_LAST
7170,-122.9116585,49.27791007,7170,000-062-378,106003,27700,025-693-361, ,8906,UNIVERSITY HIGH,ST,, ,8900 UNIVERSITY HIGH ST,BCP6258,211, ,2,Y,N,N,,BUS17-01487,Approved,,000-062-378,STARBUCKS 2 CORNERSTONE,y,Food services - 50 seats,Seats,50,Restaurant,2018-03-28T16:11:03.000Z,2018-05-17T21:15:01.000Z,2018-12-31T08:00:00.000Z,Approved,SODEXO MS CANADA LTD
7172,-122.9182228,49.27644901,7172,000-074-853,112962,39922,028-300-131,AQ,8888,UNIVERSITY,DR,,AQ,8888 UNIVERSITY DR,BCP45523,31,,1,N,N,N,,BUS17-01490,Approved,,000-074-853,MACKENZIE CAFE,n,Food services,Seats,530,Restaurant,2018-03-29T15:40:41.000Z,2018-06-28T20:51:19.000Z,2018-12-31T08:00:00.000Z,Approved,SODEXO MS CANADA LTD
7278,-122.9954127,49.22140105,7278,000-042-590,29591,19764,011-065-826, ,6848,JUBILEE,AVE,, ,6848 JUBILEE AV,NWP4279,99, ,1,N,N,N,,BUS17-01729,Approved,,000-042-590,CAFE LA FORET,n,Bakery & cafe,Seats,84,Restaurant,2018-01-17T19:16:52.000Z,2018-11-08T08:01:14.000Z,2019-12-31T08:00:00.000Z,Approved,CAFE LA FORET LTD
7408,-123.0025413,49.19661408,7408,000-070-061,111796,5268,027-488-489, ,9500,GLENLYON,PKY,, ,9500 GLENLYON PY,BCP36073,165, ,1,N,N,N,,BUS17-01957,Approved,,000-070-061,KELOWNA CAFE AT RBA #63372,n,Cafeteria for Richie Bros Auctioneers staff,Seats,200,Restaurant,2017-12-01T23:44:01.000Z,2018-11-01T21:22:52.000Z,2019-12-31T08:00:00.000Z,Approved,COMPASS GROUP CANADA LTD
7445,-122.977849,49.26520041,7445,000-011-028,12465,25413,002-425-475,1,5901,BROADWAY,,,1,5901 BROADWAY,NWP21055,130,,19,N,N,N,,BUS17-02035,Approved,,000-011-028,WHITE LOTUS CAFE,n,Restaurant,Seats,6,Restaurant,2017-09-08T07:00:00.000Z,2019-02-01T08:00:58.000Z,2019-12-31T08:00:00.000Z,Approved,TOMMY PHAT DUONG & NHUNG THI HUYNH
7474,-122.9307209,49.22177538,7474,000-052-296,29227,9979,002-884-429,102,7670,SIXTH,ST,,102,7670 6TH ST,NWP627,28,21,2,N,N,N,,BUS17-02087,Approved,,000-052-296,WAPA CAFE,n,Cafe hookah lounge,Seats,30,Restaurant,2018-02-13T21:22:27.000Z,2018-12-31T20:39:49.000Z,2019-12-31T08:00:00.000Z,Approved,WAPA CAFE LTD
7932,-122.8937897,49.24395392,7932,000-055-489,18968,30891,023-836-300,109,4501,NORTH,RD,,109,4501 NORTH RD,NWS1901,1, ,17,Y,N,N,,BUS18-00444,Approved,,000-055-501,STANDING EGG COFFEE,n,Restaurant - max 40 seats,Seats,40,Restaurant,2018-02-13T19:05:44.000Z,2018-12-19T08:02:04.000Z,2019-12-31T08:00:00.000Z,Approved,VANCOUVER GENERAL HOLDINGS LTD
7937,-123.011264,49.20644755,7937,000-069-038,111662,25183,027-507-033, ,8607,GLENLYON,PKY,, ,8601 GLENLYON PY,BCP35866,164, ,1,N,N,N,,BUS18-00451,Approved,,000-069-038,TIM HORTONS,y,Food service ,Seats,45,Restaurant,2018-02-13T19:57:09.000Z,2018-11-30T08:00:23.000Z,2019-12-31T08:00:00.000Z,Approved,474722 BC LTD
7996,-122.8981534,49.25267758,7996,000-015-523,16120,36445,003-002-535, ,9602,CAMERON,ST,, ,9600 CAMERON ST,NWP58429,4, , ,N,N,N,,BUS18-00557,Approved,,000-015-523,GREEN LEAF CAFE,n,Asian comfort food - 90 seats,Seats,90,Restaurant,2018-02-26T20:37:48.000Z,2018-11-27T08:01:28.000Z,2019-12-31T08:00:00.000Z,Approved,FUSION PLUS CUISINE INC
8035,-122.9516166,49.21885393,8035,000-071-354,112029,32648,027-800-024,101,7315,EDMONDS,ST,,101,7328 ARCOLA ST,BCP39757,95,,,Y,Y,N,,BUS18-00633,Approved,,000-070-306,WAVES COFFEE HOUSE,n,Coffee shop - 22 seats,Seats,22,Restaurant,2018-03-06T22:06:12.000Z,2018-12-19T22:34:13.000Z,2019-12-31T08:00:00.000Z,Approved,GOLDEN MAY HOLDINGS INC
